grid_id,count,Longitude_round,Latitude_round
1,1,-118.482,33.996
2,3,-118.483,33.997
3,3,-118.48,33.997
4,1,-118.485,33.998
5,4,-118.484,33.998
7,2,-118.482,33.998
8,7,-118.481,33.998
9,11,-118.48,33.998
10,17,-118.479,33.998
12,21,-118.482,33.999
13,31,-118.481,33.999
14,1,-118.48,33.999
15,8,-118.479,33.999
16,11,-118.478,33.999
17,9,-118.477,33.999
18,1,-118.476,33.999
19,6,-118.487,34.0
20,2,-118.486,34.0
21,4,-118.485,34.0
22,14,-118.483,34.0
23,31,-118.481,34.0
24,2,-118.48,34.0
25,3,-118.479,34.0
26,12,-118.478,34.0
27,2,-118.477,34.0
28,2,-118.476,34.0
29,1,-118.475,34.0
30,17,-118.486,34.001
31,3,-118.485,34.001
32,22,-118.483,34.001
33,20,-118.482,34.001
34,4,-118.481,34.001
35,5,-118.48,34.001
36,2,-118.479,34.001
37,4,-118.477,34.001
38,2,-118.476,34.001
39,3,-118.475,34.001
40,3,-118.474,34.001
41,1,-118.473,34.001
42,1,-118.49,34.002
43,4,-118.488,34.002
44,2,-118.487,34.002
45,21,-118.486,34.002
46,1,-118.485,34.002
47,11,-118.484,34.002
48,18,-118.483,34.002
49,2,-118.482,34.002
50,11,-118.481,34.002
51,9,-118.479,34.002
54,12,-118.476,34.002
56,1,-118.474,34.002
57,1,-118.473,34.002
58,2,-118.471,34.002
59,8,-118.489,34.003
60,4,-118.488,34.003
61,9,-118.487,34.003
62,1,-118.486,34.003
63,6,-118.484,34.003
64,5,-118.483,34.003
65,2,-118.482,34.003
66,9,-118.48,34.003
67,6,-118.479,34.003
68,1,-118.478,34.003
69,14,-118.477,34.003
70,2,-118.476,34.003
72,3,-118.473,34.003
73,9,-118.472,34.003
74,13,-118.471,34.003
77,1,-118.49,34.004
78,14,-118.488,34.004
79,10,-118.487,34.004
80,14,-118.486,34.004
81,24,-118.485,34.004
82,5,-118.484,34.004
83,6,-118.483,34.004
84,2,-118.482,34.004
85,2,-118.481,34.004
86,1,-118.48,34.004
87,6,-118.478,34.004
88,5,-118.477,34.004
89,1,-118.476,34.004
90,3,-118.475,34.004
92,3,-118.473,34.004
93,1,-118.472,34.004
94,2,-118.471,34.004
95,1,-118.47,34.004
96,3,-118.469,34.004
97,2,-118.468,34.004
98,2,-118.491,34.005
99,3,-118.49,34.005
100,17,-118.489,34.005
101,4,-118.488,34.005
102,11,-118.487,34.005
103,2,-118.486,34.005
104,9,-118.485,34.005
105,6,-118.484,34.005
