grid_id,count,Longitude_round,Latitude_round
2,2,-118.483,33.997
3,7,-118.48,33.997
5,1,-118.484,33.998
6,2,-118.483,33.998
7,3,-118.482,33.998
8,3,-118.481,33.998
9,12,-118.48,33.998
10,10,-118.479,33.998
12,19,-118.482,33.999
13,33,-118.481,33.999
14,3,-118.48,33.999
15,10,-118.479,33.999
16,6,-118.478,33.999
17,9,-118.477,33.999
19,7,-118.487,34.0
20,2,-118.486,34.0
21,1,-118.485,34.0
22,18,-118.483,34.0
23,29,-118.481,34.0
24,2,-118.48,34.0
25,2,-118.479,34.0
26,8,-118.478,34.0
27,1,-118.477,34.0
28,3,-118.476,34.0
29,3,-118.475,34.0
30,16,-118.486,34.001
31,9,-118.485,34.001
32,24,-118.483,34.001
33,18,-118.482,34.001
34,2,-118.481,34.001
35,2,-118.48,34.001
36,2,-118.479,34.001
37,4,-118.477,34.001
39,3,-118.475,34.001
41,6,-118.473,34.001
42,1,-118.49,34.002
43,5,-118.488,34.002
44,1,-118.487,34.002
45,12,-118.486,34.002
46,1,-118.485,34.002
47,7,-118.484,34.002
48,12,-118.483,34.002
50,10,-118.481,34.002
51,11,-118.479,34.002
52,1,-118.478,34.002
53,1,-118.477,34.002
54,5,-118.476,34.002
55,1,-118.475,34.002
56,10,-118.474,34.002
57,3,-118.473,34.002
58,4,-118.471,34.002
59,4,-118.489,34.003
60,7,-118.488,34.003
61,5,-118.487,34.003
63,18,-118.484,34.003
64,4,-118.483,34.003
65,3,-118.482,34.003
66,3,-118.48,34.003
67,7,-118.479,34.003
69,9,-118.477,34.003
71,1,-118.474,34.003
72,3,-118.473,34.003
73,8,-118.472,34.003
74,17,-118.471,34.003
75,1,-118.47,34.003
76,1,-118.469,34.003
77,1,-118.49,34.004
78,12,-118.488,34.004
79,10,-118.487,34.004
80,9,-118.486,34.004
81,18,-118.485,34.004
82,2,-118.484,34.004
83,9,-118.483,34.004
84,2,-118.482,34.004
85,4,-118.481,34.004
87,5,-118.478,34.004
88,4,-118.477,34.004
89,1,-118.476,34.004
90,1,-118.475,34.004
91,1,-118.474,34.004
92,3,-118.473,34.004
93,2,-118.472,34.004
94,4,-118.471,34.004
95,2,-118.47,34.004
96,3,-118.469,34.004
97,1,-118.468,34.004
98,5,-118.491,34.005
99,1,-118.49,34.005
100,10,-118.489,34.005
101,7,-118.488,34.005
102,10,-118.487,34.005
103,3,-118.486,34.005
104,4,-118.485,34.005
106,7,-118.483,34.005
108,3,-118.48,34.005
109,6,-118.479,34.005
110,5,-118.476,34.005
111,4,-118.475,34.005
112,9,-118.474,34.005
113,8,-118.473,34.005
115,1,-118.471,34.005
116,3,-118.47,34.005
117,2,-118.468,34.005
118,6,-118.467,34.005
119,6,-118.491,34.006
120,54,-118.49,34.006
121,1,-118.489,34.006
122,1,-118.488,34.006
123,10,-118.487,34.006
124,6,-118.485,34.006
125,1,-118.484,34.006
126,8,-118.483,34.006
127,4,-118.482,34.006
128,6,-118.48,34.006
129,1,-118.479,34.006
130,6,-118.478,34.006
131,1,-118.477,34.006
132,1,-118.476,34.006
133,18,-118.475,34.006
134,1,-118.474,34.006
135,6,-118.472,34.006
136,2,-118.471,34.006
137,4,-118.47,34.006
138,1,-118.469,34.006
139,1,-118.467,34.006
140,4,-118.466,34.006
142,3,-118.463,34.006
143,10,-118.492,34.007
144,5,-118.491,34.007
145,9,-118.49,34.007
146,23,-118.489,34.007
147,3,-118.487,34.007
148,6,-118.486,34.007
149,12,-118.485,34.007
150,10,-118.484,34.007
151,8,-118.483,34.007
152,2,-118.482,34.007
153,3,-118.481,34.007
154,2,-118.479,34.007
155,1,-118.477,34.007
156,26,-118.476,34.007
157,4,-118.473,34.007
158,1,-118.472,34.007
159,1,-118.471,34.007
160,2,-118.47,34.007
161,1,-118.468,34.007
162,2,-118.465,34.007
163,1,-118.464,34.007
164,3,-118.461,34.007
165,1,-118.499,34.008
167,32,-118.493,34.008
168,47,-118.492,34.008
169,8,-118.491,34.008
170,17,-118.49,34.008
171,7,-118.489,34.008
172,7,-118.488,34.008
173,9,-118.487,34.008
174,9,-118.486,34.008
175,1,-118.485,34.008
176,2,-118.484,34.008
177,2,-118.483,34.008
178,3,-118.482,34.008
179,1,-118.481,34.008
180,5,-118.479,34.008
181,6,-118.478,34.008
182,6,-118.477,34.008
183,2,-118.476,34.008
184,4,-118.475,34.008
185,2,-118.474,34.008
186,3,-118.473,34.008
