grid_id,count,Longitude_round,Latitude_round
1,7,-118.482,33.996
2,12,-118.483,33.997
3,4,-118.482,33.997
4,97,-118.48,33.997
5,7,-118.485,33.998
6,16,-118.484,33.998
7,20,-118.483,33.998
8,8,-118.482,33.998
9,49,-118.481,33.998
10,246,-118.48,33.998
11,84,-118.479,33.998
12,25,-118.484,33.999
13,122,-118.482,33.999
14,361,-118.481,33.999
15,108,-118.48,33.999
16,114,-118.479,33.999
17,100,-118.478,33.999
18,90,-118.477,33.999
19,1,-118.476,33.999
20,49,-118.487,34.0
21,22,-118.486,34.0
22,55,-118.485,34.0
23,203,-118.483,34.0
24,615,-118.481,34.0
25,57,-118.48,34.0
26,57,-118.479,34.0
27,81,-118.478,34.0
28,35,-118.477,34.0
29,51,-118.476,34.0
30,27,-118.475,34.0
31,168,-118.486,34.001
32,31,-118.485,34.001
33,8,-118.484,34.001
34,358,-118.483,34.001
35,329,-118.482,34.001
36,64,-118.481,34.001
37,76,-118.48,34.001
38,73,-118.479,34.001
39,7,-118.478,34.001
40,44,-118.477,34.001
41,34,-118.476,34.001
42,27,-118.475,34.001
43,42,-118.474,34.001
44,52,-118.473,34.001
45,2,-118.49,34.002
46,33,-118.488,34.002
47,20,-118.487,34.002
48,83,-118.486,34.002
49,10,-118.485,34.002
50,157,-118.484,34.002
51,326,-118.483,34.002
52,37,-118.482,34.002
53,89,-118.481,34.002
54,4,-118.48,34.002
55,113,-118.479,34.002
56,33,-118.478,34.002
57,3,-118.477,34.002
58,81,-118.476,34.002
59,25,-118.475,34.002
60,88,-118.474,34.002
61,59,-118.473,34.002
62,9,-118.472,34.002
63,36,-118.471,34.002
64,37,-118.489,34.003
65,60,-118.488,34.003
66,63,-118.487,34.003
67,2,-118.486,34.003
68,6,-118.485,34.003
69,90,-118.484,34.003
70,88,-118.483,34.003
71,26,-118.482,34.003
72,42,-118.481,34.003
73,79,-118.48,34.003
74,77,-118.479,34.003
75,6,-118.478,34.003
76,116,-118.477,34.003
77,16,-118.476,34.003
78,2,-118.475,34.003
79,19,-118.474,34.003
80,29,-118.473,34.003
81,52,-118.472,34.003
82,204,-118.471,34.003
83,19,-118.47,34.003
84,17,-118.469,34.003
85,8,-118.49,34.004
86,36,-118.489,34.004
87,128,-118.488,34.004
88,46,-118.487,34.004
89,205,-118.486,34.004
90,255,-118.485,34.004
91,39,-118.484,34.004
92,47,-118.483,34.004
93,23,-118.482,34.004
94,24,-118.481,34.004
95,34,-118.48,34.004
96,3,-118.479,34.004
97,67,-118.478,34.004
98,45,-118.477,34.004
99,33,-118.476,34.004
100,33,-118.475,34.004
101,15,-118.474,34.004
102,47,-118.473,34.004
103,83,-118.472,34.004
104,32,-118.471,34.004
105,36,-118.47,34.004
106,35,-118.469,34.004
107,12,-118.468,34.004
108,2,-118.467,34.004
109,22,-118.491,34.005
110,37,-118.49,34.005
111,139,-118.489,34.005
112,65,-118.488,34.005
113,203,-118.487,34.005
114,67,-118.486,34.005
115,35,-118.485,34.005
116,64,-118.484,34.005
117,73,-118.483,34.005
118,1,-118.482,34.005
119,10,-118.481,34.005
120,31,-118.48,34.005
121,82,-118.479,34.005
122,24,-118.478,34.005
123,1,-118.477,34.005
124,65,-118.476,34.005
125,33,-118.475,34.005
126,152,-118.474,34.005
127,117,-118.473,34.005
128,19,-118.472,34.005
129,5,-118.471,34.005
130,18,-118.47,34.005
131,1,-118.469,34.005
132,21,-118.468,34.005
133,17,-118.467,34.005
134,176,-118.491,34.006
135,614,-118.49,34.006
136,24,-118.489,34.006
137,53,-118.488,34.006
138,99,-118.487,34.006
139,102,-118.485,34.006
140,3,-118.484,34.006
141,102,-118.483,34.006
142,70,-118.482,34.006
143,61,-118.48,34.006
144,18,-118.479,34.006
145,100,-118.478,34.006
146,28,-118.477,34.006
147,20,-118.476,34.006
148,218,-118.475,34.006
149,62,-118.474,34.006
150,56,-118.472,34.006
151,23,-118.471,34.006
152,24,-118.47,34.006
153,14,-118.469,34.006
154,4,-118.468,34.006
155,15,-118.467,34.006
156,52,-118.466,34.006
157,2,-118.465,34.006
158,22,-118.463,34.006
159,116,-118.492,34.007
160,68,-118.491,34.007
161,118,-118.49,34.007
162,301,-118.489,34.007
163,101,-118.487,34.007
164,35,-118.486,34.007
165,78,-118.485,34.007
166,88,-118.484,34.007
167,49,-118.483,34.007
168,19,-118.482,34.007
169,91,-118.481,34.007
170,29,-118.479,34.007
171,22,-118.477,34.007
172,487,-118.476,34.007
173,30,-118.473,34.007
174,42,-118.472,34.007
175,12,-118.471,34.007
176,18,-118.47,34.007
177,7,-118.468,34.007
178,1,-118.466,34.007
179,14,-118.465,34.007
180,28,-118.464,34.007
181,12,-118.462,34.007
182,36,-118.461,34.007
183,8,-118.499,34.008
184,2,-118.494,34.008
185,307,-118.493,34.008
186,320,-118.492,34.008
187,67,-118.491,34.008
188,186,-118.49,34.008
189,195,-118.489,34.008
190,111,-118.488,34.008
191,62,-118.487,34.008
192,51,-118.486,34.008
193,51,-118.485,34.008
194,59,-118.484,34.008
195,60,-118.483,34.008
196,48,-118.482,34.008
197,11,-118.481,34.008
198,32,-118.48,34.008
199,50,-118.479,34.008
200,91,-118.478,34.008
201,74,-118.477,34.008
202,42,-118.476,34.008
203,70,-118.475,34.008
204,9,-118.474,34.008
205,60,-118.473,34.008
206,11,-118.472,34.008
207,10,-118.471,34.008
208,22,-118.47,34.008
209,6,-118.469,34.008
210,10,-118.468,34.008
211,15,-118.467,34.008
212,9,-118.466,34.008
213,32,-118.464,34.008
214,1,-118.463,34.008
215,2,-118.462,34.008
216,15,-118.461,34.008
217,14,-118.46,34.008
218,6,-118.459,34.008
219,102,-118.498,34.009
220,357,-118.497,34.009
221,8,-118.495,34.009
222,249,-118.494,34.009
223,14,-118.492,34.009
224,94,-118.49,34.009
225,317,-118.488,34.009
226,87,-118.487,34.009
227,102,-118.486,34.009
228,38,-118.485,34.009
229,35,-118.484,34.009
230,53,-118.483,34.009
231,45,-118.482,34.009
232,7,-118.481,34.009
233,51,-118.48,34.009
234,115,-118.479,34.009
235,82,-118.478,34.009
236,44,-118.477,34.009
237,14,-118.476,34.009
238,14,-118.475,34.009
239,21,-118.474,34.009
240,54,-118.473,34.009
241,27,-118.472,34.009
242,6,-118.471,34.009
243,40,-118.47,34.009
244,13,-118.469,34.009
245,14,-118.468,34.009
246,8,-118.467,34.009
247,41,-118.466,34.009
248,8,-118.465,34.009
249,71,-118.464,34.009
250,10,-118.462,34.009
251,32,-118.461,34.009
252,2,-118.46,34.009
253,5,-118.459,34.009
254,5,-118.458,34.009
255,1,-118.457,34.009
256,1458,-118.496,34.01
257,448,-118.495,34.01
258,95,-118.494,34.01
259,334,-118.493,34.01
260,1,-118.491,34.01
261,39,-118.488,34.01
262,213,-118.487,34.01
263,45,-118.486,34.01
264,4,-118.485,34.01
265,157,-118.484,34.01
266,3,-118.483,34.01
267,25,-118.482,34.01
268,95,-118.481,34.01
269,288,-118.48,34.01
270,31,-118.479,34.01
271,37,-118.478,34.01
272,57,-118.477,34.01
273,7,-118.476,34.01
274,10,-118.475,34.01
275,5,-118.473,34.01
276,8,-118.472,34.01
277,49,-118.471,34.01
278,19,-118.47,34.01
279,32,-118.469,34.01
280,4,-118.468,34.01
281,9,-118.467,34.01
282,26,-118.466,34.01
283,9,-118.465,34.01
284,6,-118.463,34.01
285,19,-118.462,34.01
286,17,-118.461,34.01
287,7,-118.46,34.01
288,10,-118.459,34.01
289,4,-118.458,34.01
290,14,-118.457,34.01
291,34,-118.456,34.01
292,1,-118.498,34.011
293,36,-118.497,34.011
294,2,-118.496,34.011
295,569,-118.495,34.011
296,363,-118.494,34.011
297,234,-118.492,34.011
298,208,-118.491,34.011
299,70,-118.489,34.011
300,6,-118.486,34.011
301,675,-118.485,34.011
302,40,-118.484,34.011
303,5,-118.483,34.011
304,29,-118.482,34.011
305,317,-118.481,34.011
306,162,-118.48,34.011
307,62,-118.479,34.011
308,21,-118.477,34.011
309,9,-118.476,34.011
310,14,-118.475,34.011
311,9,-118.474,34.011
312,18,-118.473,34.011
313,15,-118.472,34.011
314,38,-118.471,34.011
315,41,-118.47,34.011
316,12,-118.469,34.011
317,5,-118.468,34.011
318,17,-118.467,34.011
319,53,-118.465,34.011
320,16,-118.464,34.011
321,30,-118.463,34.011
322,11,-118.461,34.011
323,47,-118.46,34.011
324,10,-118.459,34.011
325,2,-118.455,34.011
326,1,-118.454,34.011
327,530,-118.497,34.012
328,523,-118.496,34.012
329,282,-118.494,34.012
330,1610,-118.493,34.012
331,6,-118.492,34.012
332,4,-118.491,34.012
333,120,-118.49,34.012
334,101,-118.485,34.012
335,265,-118.484,34.012
336,503,-118.483,34.012
337,300,-118.482,34.012
338,100,-118.481,34.012
339,16,-118.48,34.012
340,48,-118.479,34.012
341,26,-118.478,34.012
342,30,-118.477,34.012
343,16,-118.476,34.012
344,4,-118.475,34.012
345,1,-118.474,34.012
346,16,-118.473,34.012
347,21,-118.472,34.012
348,2,-118.471,34.012
349,10,-118.47,34.012
350,43,-118.469,34.012
351,91,-118.468,34.012
352,14,-118.467,34.012
353,17,-118.466,34.012
354,15,-118.465,34.012
355,4,-118.464,34.012
356,19,-118.463,34.012
357,6,-118.462,34.012
358,17,-118.461,34.012
359,5,-118.46,34.012
360,2,-118.459,34.012
361,33,-118.458,34.012
362,1,-118.453,34.012
363,426,-118.497,34.013
364,431,-118.496,34.013
365,594,-118.495,34.013
366,896,-118.493,34.013
367,221,-118.492,34.013
368,31,-118.491,34.013
369,467,-118.489,34.013
370,7,-118.486,34.013
371,13,-118.485,34.013
372,716,-118.484,34.013
373,3,-118.483,34.013
374,340,-118.482,34.013
375,107,-118.481,34.013
376,60,-118.48,34.013
377,7,-118.479,34.013
378,40,-118.478,34.013
379,6,-118.477,34.013
380,11,-118.476,34.013
381,6,-118.475,34.013
382,22,-118.474,34.013
383,36,-118.473,34.013
384,61,-118.472,34.013
385,1,-118.47,34.013
386,9,-118.468,34.013
387,3,-118.467,34.013
388,133,-118.466,34.013
389,25,-118.465,34.013
390,58,-118.464,34.013
391,15,-118.463,34.013
392,17,-118.462,34.013
393,2,-118.461,34.013
394,27,-118.46,34.013
395,28,-118.459,34.013
396,3,-118.457,34.013
397,5,-118.454,34.013
398,16,-118.502,34.014
399,10,-118.5,34.014
400,115,-118.499,34.014
401,223,-118.498,34.014
402,803,-118.496,34.014
403,419,-118.495,34.014
404,381,-118.493,34.014
405,173,-118.492,34.014
406,76,-118.491,34.014
407,89,-118.49,34.014
408,25,-118.488,34.014
409,87,-118.487,34.014
410,45,-118.486,34.014
411,134,-118.485,34.014
412,38,-118.484,34.014
413,131,-118.483,34.014
414,155,-118.482,34.014
415,1,-118.481,34.014
416,166,-118.48,34.014
417,20,-118.479,34.014
418,43,-118.478,34.014
419,17,-118.477,34.014
420,4,-118.476,34.014
421,54,-118.475,34.014
422,14,-118.474,34.014
423,51,-118.473,34.014
424,6,-118.472,34.014
425,134,-118.471,34.014
426,4,-118.469,34.014
427,11,-118.468,34.014
428,9,-118.467,34.014
429,12,-118.466,34.014
430,29,-118.465,34.014
431,105,-118.464,34.014
432,25,-118.463,34.014
433,53,-118.462,34.014
434,49,-118.461,34.014
435,43,-118.46,34.014
436,7,-118.458,34.014
437,12,-118.457,34.014
438,36,-118.45,34.014
439,1,-118.449,34.014
440,23,-118.501,34.015
441,66,-118.5,34.015
442,187,-118.499,34.015
443,481,-118.497,34.015
444,238,-118.496,34.015
445,1552,-118.495,34.015
446,204,-118.494,34.015
447,194,-118.493,34.015
448,150,-118.492,34.015
449,142,-118.491,34.015
450,195,-118.49,34.015
451,4,-118.488,34.015
452,2,-118.487,34.015
453,426,-118.486,34.015
454,72,-118.484,34.015
455,49,-118.483,34.015
456,35,-118.48,34.015
457,27,-118.479,34.015
458,176,-118.478,34.015
459,41,-118.477,34.015
460,71,-118.475,34.015
461,20,-118.474,34.015
462,16,-118.473,34.015
463,13,-118.472,34.015
464,13,-118.471,34.015
465,21,-118.47,34.015
466,11,-118.469,34.015
467,18,-118.468,34.015
468,20,-118.467,34.015
